_id,AC No,AC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share
1,1,MEKLIGANJ,1,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,89062,463,89525,40.91
2,1,MEKLIGANJ,2,ILA RANI ROY,Indian National Congress,1276,12,1288,0.59
3,1,MEKLIGANJ,3,KAMAL KUMAR ROY,All India Forward Bloc,2345,41,2386,1.09
4,1,MEKLIGANJ,4,DADHIRAM RAY,Bharatiya Janata Party,118185,924,119109,54.42
5,1,MEKLIGANJ,5,HITEN BARMAN,Socialist Unity Centre Of India (COMMUNIST),1383,9,1392,0.64
6,1,MEKLIGANJ,6,KIRTTIRAM BARMAN,Independent,215,3,218,0.1
7,1,MEKLIGANJ,7,KRISHNA BARMAN,Independent,231,0,231,0.11
8,1,MEKLIGANJ,8,GOLAPI ROY,Independent,426,1,427,0.2
9,1,MEKLIGANJ,9,PURNENDU ROY,Independent,897,3,900,0.41
10,1,MEKLIGANJ,10,MANOJ KUMAR RAY,Independent,276,2,278,0.13
11,1,MEKLIGANJ,11,HIRANMAY DEB SINGHA,Independent,978,1,979,0.45
12,1,MEKLIGANJ,12,NOTA,None of the Above,2112,14,2126,0.97
13,2,MATHABHANGA,1,KSHITENDRA NATH BARMAN,Indian National Congress,1110,8,1118,0.46
14,2,MATHABHANGA,2,KHAGEN CHANDRA BARMAN,Communist Party of India (Marxist),3945,85,4030,1.67
15,2,MATHABHANGA,3,NISHITH PRAMANIK,Bharatiya Janata Party,142057,1283,143340,59.27
16,2,MATHABHANGA,4,MRITUNJOY BISWAS,Bahujan Samaj Party,1096,1,1097,0.45
17,2,MATHABHANGA,5,DR. SABLU BARMAN,All India Trinamool Congress,85735,515,86250,35.66
18,2,MATHABHANGA,6,PREMANANDA BARMAN,Kamatapur People's Party (United),753,2,755,0.31
19,2,MATHABHANGA,7,BIKASH BARMAN,Socialist Unity Centre Of India (COMMUNIST),336,1,337,0.14
20,2,MATHABHANGA,8,SUBODH BARMAN,Amra Bangalee,192,0,192,0.08
21,2,MATHABHANGA,9,KANGSA RAJ BARMAN,Independent,324,1,325,0.13
22,2,MATHABHANGA,10,GOUTAM BARMAN,Independent,287,1,288,0.12
23,2,MATHABHANGA,11,PROVAKAR ROY,Independent,678,6,684,0.28
24,2,MATHABHANGA,12,MIHIR SARKAR,Independent,882,1,883,0.37
25,2,MATHABHANGA,13,DR. HAREKRISHNA SARKAR,Independent,1164,4,1168,0.48
26,2,MATHABHANGA,14,HARADHAN ROY,Independent,464,1,465,0.19
27,2,MATHABHANGA,15,NOTA,None of the Above,899,14,913,0.38
28,3,COOCHBEHAR UTTAR,1,PARTHA PRATIM RAY,All India Trinamool Congress,84168,775,84943,33.42
29,3,COOCHBEHAR UTTAR,2,PARTHA PRATIM ISHOR,Indian National Congress,1912,27,1939,0.76
30,3,COOCHBEHAR UTTAR,3,PRANAY KARJEE,Communist Party of India (Marxist),5182,111,5293,2.08
31,3,COOCHBEHAR UTTAR,4,SUKUMAR RAY,Bharatiya Janata Party,153169,2158,155327,61.11
32,3,COOCHBEHAR UTTAR,5,UPENDRA NATH BASUNIA,Amra Bangalee,871,3,874,0.34
33,3,COOCHBEHAR UTTAR,6,NIRMAL KUMAR ROY,Kamatapur People's Party (United),210,11,221,0.09
34,3,COOCHBEHAR UTTAR,7,SWAPAN KUMAR BARMAN,Socialist Unity Centre Of India (COMMUNIST),379,9,388,0.15
35,3,COOCHBEHAR UTTAR,8,UTTAM BARMAN,Independent,294,13,307,0.12
36,3,COOCHBEHAR UTTAR,9,NARESH CHANDRA ROY,Independent,402,1,403,0.16
37,3,COOCHBEHAR UTTAR,10,PANCHANAN ROY,Independent,955,6,961,0.38
38,3,COOCHBEHAR UTTAR,11,SUKUMAR ROY,Independent,886,9,895,0.35
39,3,COOCHBEHAR UTTAR,12,SUKUMAR ROY,Independent,801,4,805,0.32
40,3,COOCHBEHAR UTTAR,13,NOTA,None of the Above,1796,23,1819,0.72
41,4,COOCHBEHAR DAKSHIN,1,AVIJIT DE BHOWMIK,All India Trinamool Congress,84428,770,85198,41.48
42,4,COOCHBEHAR DAKSHIN,2,KHOKAN MIAH,Indian National Congress,2926,45,2971,1.45
43,4,COOCHBEHAR DAKSHIN,3,NAZMUL ALOM SARKAR,All India Forward Bloc,3025,112,3137,1.53
44,4,COOCHBEHAR DAKSHIN,4,BHASKAR JYOTI DUTTA,Bahujan Samaj Party,555,6,561,0.27
45,4,COOCHBEHAR DAKSHIN,5,RATHINDRA BOSE,Bharatiya Janata Party,106787,1695,108482,52.81
46,4,COOCHBEHAR DAKSHIN,6,BIDHAN BARMA,Kamatapur People's Party (United),465,6,471,0.23
47,4,COOCHBEHAR DAKSHIN,7,SUMAN PANDIT,Socialist Unity Centre Of India (COMMUNIST),395,5,400,0.19
48,4,COOCHBEHAR DAKSHIN,8,HARIDAS MODAK,Amra Bangalee,182,3,185,0.09
49,4,COOCHBEHAR DAKSHIN,9,ANANTA BARMAN,Independent,250,9,259,0.13
50,4,COOCHBEHAR DAKSHIN,10,ABHIJIT DEY,Independent,124,1,125,0.06
51,4,COOCHBEHAR DAKSHIN,11,KOUSHIK BHATTACHARJEE,Independent,243,2,245,0.12
52,4,COOCHBEHAR DAKSHIN,12,RANJIT SARKAR,Independent,502,0,502,0.24
53,4,COOCHBEHAR DAKSHIN,13,RASHIDUL ALAM,Independent,194,2,196,0.1
54,4,COOCHBEHAR DAKSHIN,14,SANTOSH BARMAN,Independent,336,0,336,0.16
55,4,COOCHBEHAR DAKSHIN,15,SURATH KUMAR HOM ROY,Independent,575,0,575,0.28
56,4,COOCHBEHAR DAKSHIN,16,NOTA,None of the Above,1743,27,1770,0.86
57,5,SITALKUCHI,1,NAMADIPTI ROY ADHIKARY,Communist Party of India (Marxist),3931,48,3979,1.42
58,5,SITALKUCHI,2,SHYAMSUNDAR RAY,Bahujan Samaj Party,945,0,945,0.34
59,5,SITALKUCHI,3,SABITRI BARMAN,Bharatiya Janata Party,143605,762,144367,51.59
60,5,SITALKUCHI,4,SUKAMAL BARMAN,Indian National Congress,2511,11,2522,0.9
61,5,SITALKUCHI,5,HARIHAR DAS,All India Trinamool Congress,118605,484,119089,42.56
62,5,SITALKUCHI,6,KAMAL BARMAN,Amra Bangalee,1347,5,1352,0.48
